2026-01-29 09:05:13,265 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:05:13,771 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:05:13,776 | INFO     | Launcher        | [Manager] Started with PID 22988
2026-01-29 09:05:13,776 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:05:14,278 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:05:14,281 | INFO     | Launcher        | [Flask] Started with PID 1504
2026-01-29 09:05:19,285 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:05:19,685 | INFO     | Launcher        | ============================================================
2026-01-29 09:05:19,685 | INFO     | Launcher        | Stopping all services...
2026-01-29 09:05:19,685 | INFO     | Launcher        | ============================================================
2026-01-29 09:05:19,685 | INFO     | Launcher        | All services stopped
2026-01-29 09:11:14,312 | INFO     | Launcher        | ============================================================
2026-01-29 09:11:14,312 | INFO     | Launcher        | Starting all services...
2026-01-29 09:11:14,312 | INFO     | Launcher        | ============================================================
2026-01-29 09:11:14,312 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:11:14,324 | INFO     | Launcher        | [Camera] Started with PID 16112
2026-01-29 09:11:15,325 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:11:15,329 | INFO     | Launcher        | [Manager] Started with PID 9972
2026-01-29 09:11:16,332 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:11:16,345 | INFO     | Launcher        | [Flask] Started with PID 22760
2026-01-29 09:11:17,347 | INFO     | Launcher        | ============================================================
2026-01-29 09:11:17,347 | INFO     | Launcher        | All services started!
2026-01-29 09:11:17,347 | INFO     | Launcher        | ============================================================
2026-01-29 09:11:17,347 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:11:17,851 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:11:17,851 | INFO     | Launcher        | [Camera] Started with PID 18648
2026-01-29 09:11:17,851 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:11:18,358 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:11:18,362 | INFO     | Launcher        | [Manager] Started with PID 11836
2026-01-29 09:11:18,362 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:11:18,862 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:11:18,867 | INFO     | Launcher        | [Flask] Started with PID 23072
2026-01-29 09:11:23,868 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:11:24,369 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:11:24,370 | INFO     | Launcher        | [Camera] Started with PID 20292
2026-01-29 09:11:24,370 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:11:24,877 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:11:24,878 | INFO     | Launcher        | [Manager] Started with PID 5656
2026-01-29 09:11:24,878 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:11:25,383 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:11:25,383 | INFO     | Launcher        | [Flask] Started with PID 9780
2026-01-29 09:11:30,387 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:11:30,888 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:11:30,890 | INFO     | Launcher        | [Camera] Started with PID 22728
2026-01-29 09:11:30,890 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:11:31,395 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:11:31,395 | INFO     | Launcher        | [Manager] Started with PID 11256
2026-01-29 09:11:31,395 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:11:31,899 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:11:31,899 | INFO     | Launcher        | [Flask] Started with PID 22708
2026-01-29 09:11:31,992 | INFO     | Launcher        | ============================================================
2026-01-29 09:11:31,992 | INFO     | Launcher        | Stopping all services...
2026-01-29 09:11:31,992 | INFO     | Launcher        | ============================================================
2026-01-29 09:11:31,992 | INFO     | Launcher        | [Flask] Stopping (PID: 22708)...
2026-01-29 09:11:31,995 | INFO     | Launcher        | [Flask] Stopped gracefully
2026-01-29 09:11:31,995 | INFO     | Launcher        | [Camera] Stopping (PID: 22728)...
2026-01-29 09:11:32,008 | INFO     | Launcher        | [Camera] Stopped gracefully
2026-01-29 09:11:32,008 | INFO     | Launcher        | All services stopped
2026-01-29 09:19:01,443 | INFO     | Launcher        | ============================================================
2026-01-29 09:19:01,443 | INFO     | Launcher        | Starting all services...
2026-01-29 09:19:01,443 | INFO     | Launcher        | ============================================================
2026-01-29 09:19:01,443 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:19:01,448 | INFO     | Launcher        | [Camera] Started with PID 10612
2026-01-29 09:19:02,451 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:19:02,463 | INFO     | Launcher        | [Manager] Started with PID 10680
2026-01-29 09:19:03,464 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:19:03,468 | INFO     | Launcher        | [Flask] Started with PID 20416
2026-01-29 09:19:04,473 | INFO     | Launcher        | ============================================================
2026-01-29 09:19:04,473 | INFO     | Launcher        | All services started!
2026-01-29 09:19:04,473 | INFO     | Launcher        | ============================================================
2026-01-29 09:19:04,476 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:19:04,977 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:19:04,977 | INFO     | Launcher        | [Camera] Started with PID 12528
2026-01-29 09:19:04,977 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:19:05,481 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:19:05,483 | INFO     | Launcher        | [Manager] Started with PID 23236
2026-01-29 09:19:05,483 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:19:05,987 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
